name;r;g;b;class_11
unlabeled;0;0;0;255
ego vehicle;0;0;0;255
rectification border;0;0;0;255
out of roi;0;0;0;255
static;0;0;0;255
dynamic;111;74;0;255
ground;81;0;81;255
road;128;64;128;0
sidewalk;244;35;232;1
parking;250;170;160;255
rail track;230;150;140;255
building;70;70;70;2
wall;102;102;156;3
fence;190;153;153;4
guard rail;180;165;180;255
bridge;150;100;100;255
tunnel;150;120;90;255
pole;153;153;153;5
polegroup;153;153;153;255
traffic light;250;170;30;6
traffic sign;220;220;0;7
vegetation;107;142;35;8
terrain;152;251;152;9
sky;70;130;180;10
person;220;20;60;11
rider;255;0;0;12
car;0;0;142;13
truck;0;0;70;14
bus;0;60;100;15
caravan;0;0;90;255
trailer;0;0;110;255
train;0;80;100;16
motorcycle;0;0;230;17
bicycle;119;11;32;18
license plate;0;0;142;-1
